text,true,pred
consistently clever and suspenseful .,pos,neg
weighty and ponderous but every bit as filling as the treat of the title .,pos,neg
generates an enormous feeling of empathy for its characters .,pos,neg
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",pos,neg
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",pos,neg
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",pos,neg
"as it turns out , you can go home again .",pos,neg
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",pos,neg
this is a fascinating film because there is no clear-cut hero and no all-out villain .,pos,neg
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",pos,neg
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",pos,neg
there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .,pos,neg
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",pos,neg
waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,pos,neg
a gangster movie with the capacity to surprise .,pos,neg
"if not a home run , then at least a solid base hit .",pos,neg
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,pos,neg
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,pos,neg
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .,pos,neg
williams absolutely nails sy's queasy infatuation and overall strangeness .,pos,neg
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",pos,neg
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",pos,neg
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",pos,neg
entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,pos,neg
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,pos,neg
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",pos,neg
about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .,pos,neg
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",pos,neg
the closest thing to the experience of space travel,pos,neg
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,pos,neg
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",pos,neg
spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .,pos,neg
"my little eye is the best little "" horror "" movie i've seen in years .",pos,neg
"sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .",pos,neg
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .",pos,neg
the comedy makes social commentary more palatable .,pos,neg
"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ?",pos,neg
"it's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas .",pos,neg
a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,pos,neg
"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea's recent past and south korea's future adds a much needed moral weight .",pos,neg
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,pos,neg
what begins as a film in the tradition of the graduate quickly switches into something more recyclable than significant .,pos,neg
"doesn't do more than expand a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",pos,neg
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .",pos,neg
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,pos,neg
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline .,pos,neg
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engaging on an emotional level , funnier , and on the whole less detached .",pos,neg
